Nombre,Link
"Cabezas de ganado. Caprino","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/054a061f-df29-4573-b5b3-cca7f7ed8a92"
"Cabezas de ganado. Ovino","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/4b3419fc-12fb-49e4-8432-880a2da93751"
"Cabezas de ganado. Porcino","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/b4c7fb97-5e6d-46ed-84e0-713b3f4fce8e"
"Energía eléctrica. Disponible","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/47607f6a-d2b1-4d37-86bf-35d22a05f956"
"Índice de producción industrial (IPI)","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/fad3fc31-439d-4289-90c8-08506c2240d5"
"Índice de producción industrial (IPI). Datos ajustados de estacionalidad y calendario","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/283a383f-5850-4167-a12d-1157efe8bdac"
"Índice de precios industriales (IPRI)","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/fca04cd0-febf-4d8b-a267-bbcea1986b56"
"Índice de cifra de negocios en la industria (ICN)","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/2f1a50e1-3faa-4842-ad76-ea5223e000bf"
"Índice de cifra de negocios en la industria (ICN). Datos ajustados de estacionalidad y calendario","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/fb15559d-33bb-41d8-bd17-7fd71cafa4cd"
"Afiliaciones a la Seguridad Social. Industria","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/ab6e2b40-3402-4b30-8b7e-1ab29433cf34"
"Empleo registrado. Industria","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/66145242-b89c-4f5b-9a51-9cf49afb64ec"
"Empresas inscritas en la Seguridad Social. Industria","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/aa5a45f4-36b0-4986-a3ba-8e782b1f1d75"
"Visados de obra. Viviendas","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/56d1baf6-5d6d-4d02-aa3c-a94c18eda6ab"
"Visados de obra. Viviendas de obra nueva","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/d0656358-41cf-4359-abc7-1323e0d8cb81"
"Vivienda libre. Valor tasado del metro cuadrado","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/236d3319-de45-45a5-ade3-bd82d7fcf59a"
"Vivienda protegida. Valor tasado del metro cuadrado","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/63738f2b-d1e5-4462-961b-aeaa8bef98bb"
"Licitación oficial en construcción","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/e0acaee1-f668-48f4-acb7-117b982ece5b"
"Licitación oficial en construcción. Edificación","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/b60c6763-7bd5-400e-b3e4-c806883f53d2"
"Licitación oficial en construcción. Ingeniería civil","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/5e73eb41-29ee-471b-89da-b9310b52351e"
"Venta mayor de cemento","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/74bca394-b548-4882-827a-d62119c74eef"
"Afiliaciones a la Seguridad Social. Construcción","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/f2f6d939-a244-405c-9009-6ff1f6f471ae"
"Empleo registrado. Construcción","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/8c348922-76a3-4bd8-9945-7383ca9eaa79"
"Empresas inscritas en la Seguridad Social. Construcción","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/f89b3acc-1ced-46c6-a163-1b05d8a519df"
"Índice de ocupación (IASS). Servicios","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/1a136eac-3139-43d5-abf7-771a4803354a"
"Índice de cifra de negocios (IASS). Servicios","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/d5c2da93-e458-4e08-b202-d3407a7b7606"
"Índice de cifra de negocios (IASS). Servicios. Datos ajustados de estacionalidad y calendario","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/3dd2d716-fef7-4ca7-b424-d6f8356b85b0"
"Afiliaciones a la Seguridad Social. Servicios","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/e6887326-f5aa-4f73-b400-f9c147cfd057"
"Empleo registrado. Servicios","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/95174c66-276a-4909-b7df-3db96db5378e"
"Empresas inscritas en la Seguridad Social. Servicios","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/af73db87-2442-42cc-af6e-3dcde2735976"
"Índice de cifra de negocios a precios corrientes (ICM)","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/19e843ef-eba2-42a3-bc48-c294f17f497f"
"Índice de cifra de negocios a precios constantes (ICM)","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/70f2e8a7-1499-4da3-bbc7-a65a68e59829"
"Índice de cifra de negocios a precios constantes (ICM). Comercio al por menor. Datos ajustados de estacionalidad y calendario","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/d51b59ae-7e59-458d-86af-79aa846227e6"
"Índice de ocupación (ICM)","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/d3203fac-0136-48e3-8587-68090ae65f71"
"Comercio exterior. Importaciones en peso","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/2e093d2b-f064-470e-bd6e-7eb3eaa6f233"
"Comercio exterior. Exportaciones en peso","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/8c902459-0fb3-40d4-a0a8-ac5c0cd7c606"
"Comercio exterior. Importaciones en valor","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/1609dc25-937f-4880-9211-441d997e830e"
"Comercio exterior. Exportaciones en valor","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/b43a44bf-742d-4245-9ca0-ac9bd09e1848"
"Comercio exterior. Déficit comercial","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/ba37ac87-8d12-4c3d-99a7-203e15d4c585"
"Comercio exterior. Tasa de cobertura","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/676206f4-51f5-4cec-b870-85721a8e336a"
"Empleo registrado. Comercio","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/afc48ea9-ba75-4155-b745-2e454b4b3c6a"
"Alojamientos turísticos abiertos","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/b77acc8e-bfe0-4a70-8fcd-990b8fd5f494"
"Plazas ofertadas por alojamientos turísticos","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/111f7f7c-fca9-4a8b-ad9e-c0f924623367"
"Viajeros entrados en alojamientos turísticos","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/5ecfc919-ccb2-4c40-984c-a2684aef293e"
"Pernoctaciones en alojamientos turísticos","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/ea3b735d-9a88-4cd4-a7e7-41e7b8c6554c"
"Tasa de ocupación por plazas","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/66ff09da-8eb5-4059-b3f5-b9ff49d0d01e"
"Empleo registrado. Hostelería","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/47f618cd-92a5-4b3e-89f3-9bc5fcc91b9a"
"Turistas entrados","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/afa460ac-78b6-4793-9352-2f3ed8c967fd"
"Turistas entrados. Nacionales","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/831c89ca-a7f7-40e1-93d7-b7a59232c878"
"Turistas entrados. Extranjeros","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/b97ded79-4892-4ec3-b869-ce22b2b5e50b"
"Gasto turístico","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/20d89ea9-7cff-4731-8535-977ed072fbdc"
"Gasto turístico. Gasto medio por turista","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/2a64cfa6-cc64-4141-b9fd-ae9c08e00d14"
"Gasto turístico. Gasto medio por turista y día","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/9053280e-e164-49d7-8d65-7d7ad8866b1a"
"Matriculación de vehículos","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/57a64450-4313-4336-9dba-521442cea4ff"
"Matriculación de vehículos. Turismos","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/dbf6d233-553b-48a6-af30-1666514d008b"
"Tráfico aéreo comercial. Movimiento de aeronaves","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/59d121c6-e7a7-4aab-8049-57a26b4f18d2"
"Tráfico aéreo comercial. Movimiento de pasajeros","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/194ee113-6afa-493b-a422-1276af83c92b"
"Tráfico aéreo comercial. Movimiento de mercancías","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/8de79d61-4019-4bc2-b2ed-57635f6672eb"
"Hipotecas constituidas","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/4ddda1d9-901d-4cf1-8410-73dbaf47f548"
"Hipotecas constituidas. Importe","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/baab096f-a9f5-494b-a040-fb99623b0579"
"Hipotecas canceladas","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/762196b1-4eb0-4d69-b5d2-ea4334959a35"
"REF. Recaudación tributaria líquida. Acumulado","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/4e6669be-02a1-496d-94b6-fe2928d8e868"
"Estado. Recaudación tributaria líquida. Acumulado","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/d285ce34-9129-48bc-9c1c-c87a4fa88292"
"IRPF. Renta Bruta por declaración","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/1421462f-85fe-49da-a8d3-b90689102ad1"
"IRPF. Renta Disponible por declaración","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/5f8c88bc-41df-49c5-b153-a2dfcafd9a1f"
"IBI. Cuota líquida. Urbanos","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/e6098f3a-2d2b-4eb4-8823-389736926433"
"IBI. Cuota líquida. Rústicos","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/271ae6bf-7320-44e8-a862-0bc8226b8699"
